Start timestamp (s),End timestamp (s),Handshake number,Handshake duration (MS),Droprate (%),Number of packets,Number of bytes,Number of long headers,Number of short headers,Bytes for long headers,Bytes for short headers,,CPU utilization,Memory bytes,Disk bytes,
1617065852.177886,1617065852.186681,1135,8.795022964477539,10,9,7429,8,5,5112,1921,,0.0,0,0,
1617065852.206415,1617065852.214782,1136,8.367061614990234,10,9,7430,8,5,5113,1921,,0.0,0,0,
1617065852.23665,1617065852.24554,1137,8.889913558959961,10,9,7424,8,5,5107,1921,,0.0,0,0,
1617065852.716919,1617065879.661898,1138,26944.978952407837,10,34,9704,8,30,5116,3092,,0.0,0,0,
1617065852.747957,1617065852.756935,1139,8.977890014648438,10,9,7431,8,5,5114,1921,,0.0,0,0,
1617065852.777246,1617065879.746683,1140,26969.43688392639,10,34,8876,8,30,4287,3093,,0.0,0,0,
1617065852.975872,1617065852.98507,1141,9.19795036315918,10,9,7434,8,5,5117,1921,,0.0,0,0,
1617065853.006582,1617065853.015008,1142,8.42595100402832,10,9,7429,8,5,5112,1921,,0.0,0,0,
1617065853.034351,1617065879.987152,1143,26952.800989151,10,34,9697,8,30,5109,3092,,0.0,0,0,
1617065853.065818,1617065853.073482,1144,7.663965225219727,10,9,7428,8,5,5111,1921,,0.0,0,0,
1617065853.093052,1617065853.101416,1145,8.364200592041016,10,9,7433,8,5,5116,1921,,0.0,0,0,
1617065853.277079,1617065853.285474,1146,8.394956588745117,10,9,7430,8,5,5113,1921,,0.0,0,0,
1617065853.30602,1617065853.315159,1147,9.139060974121094,10,9,7425,8,5,5108,1921,,0.0,0,0,
1617065853.338113,1617065853.346068,1148,7.954835891723633,10,9,7431,8,5,5114,1921,,0.0,0,0,
1617065853.368432,1617065853.378099,1149,9.666919708251953,10,9,7436,8,5,5119,1921,,0.0,0,0,
1617065853.548313,1617065853.594252,1150,45.93920707702637,10,16,7120,9,10,4334,2082,,0.0,0,0,
1617065853.764906,1617065853.77779,1151,12.884140014648438,10,9,7431,8,5,5114,1921,,0.0,0,0,
1617065853.799063,1617065853.807637,1152,8.57400894165039,10,9,7431,8,5,5114,1921,,0.0,0,0,
1617065853.82949,1617065853.838682,1153,9.19198989868164,10,9,7424,8,5,5107,1921,,0.0,0,0,
1617065853.859567,1617065853.868721,1154,9.154081344604492,10,8,7344,8,4,5112,1880,,0.0,0,0,
1617065853.887547,1617065853.89672,1155,9.172916412353516,10,9,7426,8,5,5109,1921,,0.0,0,0,
1617065853.918735,1617065853.941639,1156,22.903919219970703,10,9,6606,8,5,4289,1921,,0.0,0,0,
1617065853.962355,1617065853.971722,1157,9.366989135742188,10,9,7429,8,5,5112,1921,,0.0,0,0,
1617065853.993328,1617065854.003019,1158,9.690999984741211,10,9,7434,8,5,5117,1921,,0.0,0,0,
1617065854.023089,1617065854.032204,1159,9.114980697631836,10,9,7424,8,5,5107,1921,,0.0,0,0,
1617065854.054343,1617065854.063222,1160,8.878946304321289,10,9,7427,8,5,5110,1921,,0.0,0,0,
